"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.604,0.654]",12,0.604,0.654,0.629,0.05,0.128417785863342,"(450,500]",450,500,475
"(0.654,0.704]",5,0.654,0.704,0.679,0.0499999999999999,0.0535074107763926,"(450,500]",450,500,475
"(0.704,0.754]",6,0.704,0.754,0.729,0.05,0.064208892931671,"(450,500]",450,500,475
"(0.754,0.804]",3,0.754,0.804,0.779,0.05,0.0321044464658355,"(450,500]",450,500,475
"(0.804,0.854]",1,0.804,0.854,0.829,0.0499999999999999,0.0107014821552785,"(450,500]",450,500,475
"(0.854,0.904]",2,0.854,0.904,0.879,0.05,0.021402964310557,"(450,500]",450,500,475
"(0.954,1]",2,0.954,1,0.977,0.046,0.0232640916419098,"(450,500]",450,500,475
"(1.1,1.15]",3,1.1,1.15,1.125,0.0499999999999998,0.0321044464658356,"(450,500]",450,500,475
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0107014821552785,"(450,500]",450,500,475
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.0107014821552785,"(450,500]",450,500,475
"(1.5,1.55]",1,1.5,1.55,1.525,0.05,0.0107014821552785,"(450,500]",450,500,475
"(3.8,3.85]",2,3.8,3.85,3.825,0.0500000000000003,0.0214029643105569,"(450,500]",450,500,475
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.03364514962014,"(500,550]",500,550,525
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.516822574810068,"(500,550]",500,550,525
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.03364514962014,"(500,550]",500,550,525
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.5504677244302,"(500,550]",500,550,525
"(0.304,0.354]",134,0.304,0.354,0.329,0.05,1.38508450049098,"(500,550]",500,550,525
"(0.354,0.404]",136,0.354,0.404,0.379,0.05,1.40575740348338,"(500,550]",500,550,525
"(0.404,0.454]",73,0.404,0.454,0.429,0.05,0.754560959222699,"(500,550]",500,550,525
"(0.454,0.504]",39,0.454,0.504,0.479,0.05,0.403121608351853,"(500,550]",500,550,525
"(0.504,0.554]",29,0.504,0.554,0.529,0.05,0.299757093389839,"(500,550]",500,550,525
"(0.554,0.604]",10,0.554,0.604,0.579,0.0499999999999999,0.103364514962014,"(500,550]",500,550,525
"(0.604,0.654]",10,0.604,0.654,0.629,0.05,0.103364514962013,"(500,550]",500,550,525
"(0.654,0.704]",8,0.654,0.704,0.679,0.0499999999999999,0.0826916119696109,"(500,550]",500,550,525
"(0.704,0.754]",4,0.704,0.754,0.729,0.05,0.0413458059848054,"(500,550]",500,550,525
"(0.754,0.804]",3,0.754,0.804,0.779,0.05,0.031009354488604,"(500,550]",500,550,525
"(0.804,0.854]",2,0.804,0.854,0.829,0.0499999999999999,0.0206729029924027,"(500,550]",500,550,525
"(0.854,0.904]",1,0.854,0.904,0.879,0.05,0.0103364514962013,"(500,550]",500,550,525
"(0.904,0.954]",2,0.904,0.954,0.929,0.0499999999999999,0.0206729029924027,"(500,550]",500,550,525
